LYLTY_CARD_NBR,DATE,STORE_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,PACK_SIZE,BRAND,LIFESTAGE,PREMIUM_CUSTOMER
77066,22/06/2019,77,74982,106,Natural ChipCo      Hony Soy Chckn175g,2,6,175,NATURAL,YOUNG SINGLES/COUPLES,Budget
77066,10/11/2018,77,74979,94,Burger Rings 220g,2,4.6,220,BURGER,YOUNG SINGLES/COUPLES,Budget
77067,14/09/2018,77,74983,62,Pringles Mystery    Flavour 134g,2,7.4,134,PRINGLES,YOUNG FAMILIES,Mainstream
77068,14/03/2019,77,74984,79,Smiths Chip Thinly  CutSalt/Vinegr175g,1,3,175,SMITHS,YOUNG SINGLES/COUPLES,Premium
77069,17/06/2019,77,74987,70,Tyrrells Crisps     Lightly Salted 165g,2,8.4,165,TYRRELLS,MIDAGE SINGLES/COUPLES,Budget
77069,20/02/2019,77,74985,98,NCC Sour Cream &    Garden Chives 175g,2,6,175,NATURAL,MIDAGE SINGLES/COUPLES,Budget
77069,8/03/2019,77,74986,8,Smiths Crinkle Cut  Chips Original 170g,2,5.8,170,SMITHS,MIDAGE SINGLES/COUPLES,Budget
77072,12/03/2019,77,74988,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,175,THINS,OLDER SINGLES/COUPLES,Premium
77073,30/12/2018,77,74989,51,Doritos Mexicana    170g,1,4.4,170,DORITOS,YOUNG SINGLES/COUPLES,Budget
77074,13/03/2019,77,74990,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,1,4.6,150,KETTLE,RETIREES,Premium
77076,28/06/2019,77,74991,53,RRD Sweet Chilli &  Sour Cream 165g,2,6,165,RRD,YOUNG SINGLES/COUPLES,Budget
77077,16/10/2018,77,74992,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,175,THINS,RETIREES,Premium
77077,16/03/2019,77,74993,71,Twisties Cheese     Burger 250g,1,4.3,250,TWISTIES,RETIREES,Premium
77077,21/03/2019,77,74994,74,Tostitos Splash Of  Lime 175g,1,4.4,175,TOSTITOS,RETIREES,Premium
77078,25/05/2019,77,74996,66,CCs Nacho Cheese    175g,2,4.2,175,CCS,RETIREES,Mainstream
77078,22/11/2018,77,74995,57,Old El Paso Salsa   Dip Tomato Mild 300g,2,10.2,300,OLD,RETIREES,Mainstream
77079,2/01/2019,77,74997,76,Woolworths Medium   Salsa 300g,2,3,300,WOOLWORTHS,YOUNG SINGLES/COUPLES,Premium
77079,15/06/2019,77,74998,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6,110,INFUZIONS,YOUNG SINGLES/COUPLES,Premium
77080,14/05/2019,77,75001,3,Kettle Sensations   Camembert & Fig 150g,1,4.6,150,KETTLE,OLDER FAMILIES,Mainstream
77080,9/12/2018,77,74999,24,Grain Waves         Sweet Chilli 210g,1,3.6,210,GRNWVES,OLDER FAMILIES,Mainstream
77080,24/02/2019,77,75000,58,Red Rock Deli Chikn&Garlic Aioli 150g,2,5.4,150,RRD,OLDER FAMILIES,Mainstream
77081,10/08/2018,77,75002,11,RRD Pc Sea Salt     165g,1,3,165,RRD,YOUNG SINGLES/COUPLES,Budget
77082,3/12/2018,77,75003,52,Grain Waves Sour    Cream&Chives 210G,2,7.2,210,GRNWVES,OLDER SINGLES/COUPLES,Budget
77083,17/03/2019,77,75004,80,Natural ChipCo Sea  Salt & Vinegr 175g,1,3,175,NATURAL,RETIREES,Budget
77085,8/03/2019,77,75005,7,Smiths Crinkle      Original 330g,1,5.7,330,SMITHS,OLDER SINGLES/COUPLES,Budget
77088,30/08/2018,77,75006,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,150,DORITOS,RETIREES,Premium
77088,4/03/2019,77,75007,37,Smiths Thinly       Swt Chli&S/Cream175G,2,6,175,SMITHS,RETIREES,Premium
77089,26/12/2018,77,75008,50,Tostitos Lightly    Salted 175g,1,4.4,175,TOSTITOS,MIDAGE SINGLES/COUPLES,Mainstream
77089,22/04/2019,77,75009,44,Thins Chips Light&  Tangy 175g,1,3.3,175,THINS,MIDAGE SINGLES/COUPLES,Mainstream
77093,24/10/2018,77,75012,51,Doritos Mexicana    170g,1,4.4,170,DORITOS,RETIREES,Mainstream
77093,3/03/2019,77,75013,57,Old El Paso Salsa   Dip Tomato Mild 300g,2,10.2,300,OLD,RETIREES,Mainstream
77093,10/09/2018,77,75010,112,Tyrrells Crisps     Ched & Chives 165g,1,4.2,165,TYRRELLS,RETIREES,Mainstream
77093,19/09/2018,77,75011,92,WW Crinkle Cut      Chicken 175g,1,1.7,175,WOOLWORTHS,RETIREES,Mainstream
77094,30/09/2018,77,75014,95,Sunbites Whlegrn    Crisps Frch/Onin 90g,1,1.7,90,SUNBITES,MIDAGE SINGLES/COUPLES,Mainstream
77097,3/04/2019,77,75015,109,Pringles Barbeque   134g,2,7.4,134,PRINGLES,YOUNG SINGLES/COUPLES,Mainstream
77098,11/10/2018,77,75016,52,Grain Waves Sour    Cream&Chives 210G,1,3.6,210,GRNWVES,YOUNG SINGLES/COUPLES,Budget
77098,28/12/2018,77,75017,66,CCs Nacho Cheese    175g,2,4.2,175,CCS,YOUNG SINGLES/COUPLES,Budget
77099,18/09/2018,77,75018,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,2,5.4,150,RRD,YOUNG SINGLES/COUPLES,Premium
77100,18/10/2018,77,75019,111,Smiths Chip Thinly  Cut Original 175g,1,3,175,SMITHS,RETIREES,Mainstream
77102,16/12/2018,77,75021,91,CCs Tasty Cheese    175g,2,4.2,175,CCS,RETIREES,Mainstream
77102,7/01/2019,77,75022,12,Natural Chip Co     Tmato Hrb&Spce 175g,1,3,175,NATURAL,RETIREES,Mainstream
77102,7/07/2018,77,75020,80,Natural ChipCo Sea  Salt & Vinegr 175g,2,6,175,NATURAL,RETIREES,Mainstream
77103,7/10/2018,77,75023,46,Kettle Original 175g,2,10.8,175,KETTLE,OLDER FAMILIES,Mainstream
77104,23/05/2019,77,75024,105,Woolworths Cheese   Rings 190g,1,1.8,190,WOOLWORTHS,OLDER SINGLES/COUPLES,Premium
77105,7/02/2019,77,75025,111,Smiths Chip Thinly  Cut Original 175g,2,6,175,SMITHS,OLDER SINGLES/COUPLES,Mainstream
77107,6/08/2018,77,75026,88,Kettle Honey Soy    Chicken 175g,1,5.4,175,KETTLE,OLDER FAMILIES,Mainstream
77108,23/12/2018,77,75027,89,Kettle Sweet Chilli And Sour Cream 175g,2,10.8,175,KETTLE,OLDER FAMILIES,Budget
77109,17/01/2019,77,75029,86,Cheetos Puffs 165g,2,5.6,165,CHEETOS,RETIREES,Budget
77109,31/05/2019,77,75030,94,Burger Rings 220g,1,2.3,220,BURGER,RETIREES,Budget
77109,30/06/2019,77,75031,63,Kettle 135g Swt Pot Sea Salt,1,4.2,135,KETTLE,RETIREES,Budget
77109,21/11/2018,77,75028,106,Natural ChipCo      Hony Soy Chckn175g,2,6,175,NATURAL,RETIREES,Budget
77110,12/09/2018,77,75032,54,CCs Original 175g,2,4.2,175,CCS,OLDER FAMILIES,Budget
77111,13/12/2018,77,75035,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,110,COBS,YOUNG SINGLES/COUPLES,Budget
77111,15/11/2018,77,75033,60,Kettle Tortilla ChpsFeta&Garlic 150g,1,4.6,150,KETTLE,YOUNG SINGLES/COUPLES,Budget
77111,22/11/2018,77,75034,78,Thins Chips Salt &  Vinegar 175g,2,6.6,175,THINS,YOUNG SINGLES/COUPLES,Budget
77112,1/08/2018,77,75036,12,Natural Chip Co     Tmato Hrb&Spce 175g,2,6,175,NATURAL,OLDER SINGLES/COUPLES,Premium
77112,1/03/2019,77,75037,67,RRD Chilli&         Coconut 150g,2,5.4,150,RRD,OLDER SINGLES/COUPLES,Premium
77113,26/05/2019,77,75038,49,Infuzions SourCream&Herbs Veg Strws 110g,1,3.8,110,INFUZIONS,OLDER SINGLES/COUPLES,Premium
77114,12/05/2019,77,75040,63,Kettle 135g Swt Pot Sea Salt,2,8.4,135,KETTLE,OLDER FAMILIES,Budget
77114,23/06/2019,77,75041,52,Grain Waves Sour    Cream&Chives 210G,2,7.2,210,GRNWVES,OLDER FAMILIES,Budget
77114,12/09/2018,77,75039,35,Woolworths Mild     Salsa 300g,2,3,300,WOOLWORTHS,OLDER FAMILIES,Budget
77115,20/03/2019,77,75042,69,Smiths Chip Thinly  S/Cream&Onion 175g,2,6,175,SMITHS,OLDER SINGLES/COUPLES,Mainstream
77115,13/04/2019,77,75043,4,Dorito Corn Chp     Supreme 380g,1,6.5,380,DORITOS,OLDER SINGLES/COUPLES,Mainstream
77117,28/05/2019,77,75045,80,Natural ChipCo Sea  Salt & Vinegr 175g,2,6,175,NATURAL,RETIREES,Premium
77119,23/08/2018,77,75046,82,Smith Crinkle Cut   Mac N Cheese 150g,1,2.6,150,SMITHS,MIDAGE SINGLES/COUPLES,Premium
77120,3/02/2019,77,75047,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,175,THINS,YOUNG SINGLES/COUPLES,Premium
77121,1/04/2019,77,75048,46,Kettle Original 175g,2,10.8,175,KETTLE,NEW FAMILIES,Budget
77123,6/04/2019,77,75049,23,Cheezels Cheese 330g,1,5.7,330,CHEEZELS,NEW FAMILIES,Mainstream
77123,9/03/2019,77,75050,95,Sunbites Whlegrn    Crisps Frch/Onin 90g,2,3.4,90,SUNBITES,NEW FAMILIES,Mainstream
77125,15/04/2019,77,75051,4,Dorito Corn Chp     Supreme 380g,1,6.5,380,DORITOS,MIDAGE SINGLES/COUPLES,Premium
77126,30/08/2018,77,75053,36,Kettle Chilli 175g,1,5.4,175,KETTLE,RETIREES,Mainstream
77129,7/02/2019,77,75054,20,Doritos Cheese      Supreme 330g,1,5.7,330,DORITOS,RETIREES,Mainstream
77130,28/09/2018,77,75055,83,WW D/Style Chip     Sea Salt 200g,2,3.8,200,WOOLWORTHS,YOUNG SINGLES/COUPLES,Premium
77131,3/02/2019,77,75056,56,Cheezels Cheese Box 125g,1,2.1,125,CHEEZELS,RETIREES,Premium
77133,16/11/2018,77,75057,31,Infzns Crn Crnchers Tangy Gcamole 110g,2,7.6,110,INFUZIONS,OLDER SINGLES/COUPLES,Mainstream
77134,18/09/2018,77,75058,34,Pringles Slt Vingar 134g,2,7.4,134,PRINGLES,OLDER SINGLES/COUPLES,Mainstream
77135,4/12/2018,77,75059,67,RRD Chilli&         Coconut 150g,1,2.7,150,RRD,MIDAGE SINGLES/COUPLES,Mainstream
77136,9/08/2018,77,75060,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,330,SMITHS,YOUNG SINGLES/COUPLES,Mainstream
77136,14/03/2019,77,75061,11,RRD Pc Sea Salt     165g,2,6,165,RRD,YOUNG SINGLES/COUPLES,Mainstream
77136,23/05/2019,77,75062,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,175,KETTLE,YOUNG SINGLES/COUPLES,Mainstream
77137,3/12/2018,77,75063,76,Woolworths Medium   Salsa 300g,1,1.5,300,WOOLWORTHS,OLDER FAMILIES,Budget
77137,25/04/2019,77,75064,91,CCs Tasty Cheese    175g,1,2.1,175,CCS,OLDER FAMILIES,Budget
77138,17/01/2019,77,75065,78,Thins Chips Salt &  Vinegar 175g,2,6.6,175,THINS,YOUNG FAMILIES,Mainstream
77139,3/02/2019,77,75066,83,WW D/Style Chip     Sea Salt 200g,2,3.8,200,WOOLWORTHS,YOUNG SINGLES/COUPLES,Budget
77139,29/03/2019,77,75067,113,Twisties Chicken270g,1,4.6,270,TWISTIES,YOUNG SINGLES/COUPLES,Budget
77141,27/03/2019,77,75069,82,Smith Crinkle Cut   Mac N Cheese 150g,2,5.2,150,SMITHS,YOUNG SINGLES/COUPLES,Premium
77141,19/07/2018,77,75068,67,RRD Chilli&         Coconut 150g,2,5.4,150,RRD,YOUNG SINGLES/COUPLES,Premium
77142,24/03/2019,77,75070,68,Pringles Chicken    Salt Crips 134g,1,3.7,134,PRINGLES,YOUNG FAMILIES,Budget
77144,26/03/2019,77,75071,112,Tyrrells Crisps     Ched & Chives 165g,2,8.4,165,TYRRELLS,YOUNG SINGLES/COUPLES,Mainstream
77144,22/05/2019,77,75072,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,175,THINS,YOUNG SINGLES/COUPLES,Mainstream
77147,12/04/2019,77,75074,19,Smiths Crinkle Cut  Snag&Sauce 150g,2,5.2,150,SMITHS,OLDER SINGLES/COUPLES,Premium
77147,10/11/2018,77,75073,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,170,DORITOS,OLDER SINGLES/COUPLES,Premium
77148,6/07/2018,77,75075,26,Pringles Sweet&Spcy BBQ 134g,1,3.7,134,PRINGLES,RETIREES,Mainstream
77148,4/05/2019,77,75076,67,RRD Chilli&         Coconut 150g,1,2.7,150,RRD,RETIREES,Mainstream
77149,5/01/2019,77,75077,90,Tostitos Smoked     Chipotle 175g,2,8.8,175,TOSTITOS,YOUNG FAMILIES,Premium
77150,25/10/2018,77,75079,62,Pringles Mystery    Flavour 134g,2,7.4,134,PRINGLES,OLDER SINGLES/COUPLES,Budget
77150,31/07/2018,77,75078,102,Kettle Mozzarella   Basil & Pesto 175g,1,5.4,175,KETTLE,OLDER SINGLES/COUPLES,Budget
77151,20/02/2019,77,75080,103,RRD Steak &         Chimuchurri 150g,2,5.4,150,RRD,YOUNG FAMILIES,Mainstream
77154,21/10/2018,77,75081,79,Smiths Chip Thinly  CutSalt/Vinegr175g,1,3,175,SMITHS,RETIREES,Premium
77155,23/02/2019,77,75082,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2,165,TYRRELLS,YOUNG SINGLES/COUPLES,Mainstream
77155,10/06/2019,77,75083,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6,110,INFUZIONS,YOUNG SINGLES/COUPLES,Mainstream
77157,12/08/2018,77,75084,114,Kettle Sensations   Siracha Lime 150g,2,9.2,150,KETTLE,OLDER FAMILIES,Budget
77157,11/06/2019,77,75085,65,Old El Paso Salsa   Dip Chnky Tom Ht300g,2,10.2,300,OLD,OLDER FAMILIES,Budget
77158,20/06/2019,77,75086,32,Kettle Sea Salt     And Vinegar 175g,2,10.8,175,KETTLE,RETIREES,Budget
77160,19/12/2018,77,75088,88,Kettle Honey Soy    Chicken 175g,1,5.4,175,KETTLE,YOUNG SINGLES/COUPLES,Budget
77160,8/11/2018,77,75087,4,Dorito Corn Chp     Supreme 380g,1,6.5,380,DORITOS,YOUNG SINGLES/COUPLES,Budget
77161,15/01/2019,77,75089,83,WW D/Style Chip     Sea Salt 200g,1,1.9,200,WOOLWORTHS,YOUNG SINGLES/COUPLES,Budget
77163,22/12/2018,77,75091,103,RRD Steak &         Chimuchurri 150g,1,2.7,150,RRD,OLDER SINGLES/COUPLES,Premium
77163,23/03/2019,77,75092,68,Pringles Chicken    Salt Crips 134g,2,7.4,134,PRINGLES,OLDER SINGLES/COUPLES,Premium
77163,22/11/2018,77,75090,95,Sunbites Whlegrn    Crisps Frch/Onin 90g,1,1.7,90,SUNBITES,OLDER SINGLES/COUPLES,Premium
77164,2/10/2018,77,75093,69,Smiths Chip Thinly  S/Cream&Onion 175g,1,3,175,SMITHS,YOUNG SINGLES/COUPLES,Premium
77166,15/09/2018,77,75094,27,WW Supreme Cheese   Corn Chips 200g,1,1.9,200,WOOLWORTHS,OLDER FAMILIES,Mainstream
77167,5/08/2018,77,75095,80,Natural ChipCo Sea  Salt & Vinegr 175g,2,6,175,NATURAL,RETIREES,Mainstream
77170,30/09/2018,77,75096,68,Pringles Chicken    Salt Crips 134g,2,7.4,134,PRINGLES,OLDER FAMILIES,Budget
77172,17/05/2019,77,75099,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,170,DORITOS,YOUNG FAMILIES,Premium
77172,7/04/2019,77,75098,91,CCs Tasty Cheese    175g,2,4.2,175,CCS,YOUNG FAMILIES,Premium
77173,10/01/2019,77,75100,110,WW Original Corn    Chips 200g,2,3.8,200,WOOLWORTHS,RETIREES,Premium
77173,22/05/2019,77,75101,62,Pringles Mystery    Flavour 134g,1,3.7,134,PRINGLES,RETIREES,Premium
77175,31/03/2019,77,75102,59,Old El Paso Salsa   Dip Tomato Med 300g,1,5.1,300,OLD,YOUNG SINGLES/COUPLES,Mainstream
77180,13/07/2018,77,75103,29,French Fries Potato Chips 175g,1,3,175,FRENCH,YOUNG FAMILIES,Mainstream
77181,12/02/2019,77,75104,66,CCs Nacho Cheese    175g,1,2.1,175,CCS,YOUNG SINGLES/COUPLES,Mainstream
77182,30/05/2019,77,75105,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,160,WOOLWORTHS,OLDER FAMILIES,Premium
77183,20/08/2018,77,75106,58,Red Rock Deli Chikn&Garlic Aioli 150g,1,2.7,150,RRD,OLDER SINGLES/COUPLES,Mainstream
77183,25/06/2019,77,75107,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,170,DORITOS,OLDER SINGLES/COUPLES,Mainstream
77186,28/05/2019,77,75108,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,1,5.9,380,SMITHS,NEW FAMILIES,Budget
77187,11/08/2018,77,75109,6,RRD Lime & Pepper   165g,2,6,165,RRD,RETIREES,Mainstream
77188,19/12/2018,77,75110,93,Doritos Corn Chip Southern Chicken 150g,2,7.8,150,DORITOS,RETIREES,Premium
77189,17/10/2018,77,75111,105,Woolworths Cheese   Rings 190g,1,1.8,190,WOOLWORTHS,YOUNG FAMILIES,Mainstream
77191,24/12/2018,77,75112,90,Tostitos Smoked     Chipotle 175g,2,8.8,175,TOSTITOS,OLDER SINGLES/COUPLES,Mainstream
77193,10/12/2018,77,75113,84,GrnWves Plus Btroot & Chilli Jam 180g,1,3.1,180,GRNWVES,RETIREES,Premium
77194,24/09/2018,77,75114,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6,110,INFUZIONS,OLDER SINGLES/COUPLES,Budget
